timestamp,total_value,cash
2026-06-09T04:36:53.172627+00:00,99823604.27,34766697.27
2026-06-09T04:37:08.218562+00:00,99823604.27,34766697.27
2026-06-09T13:07:40.247867+00:00,102459204.27,34766697.27
2026-06-09T13:46:05.392335+00:00,102459204.27,34766697.27
2026-06-10T12:21:27.797978+00:00,104347059.27,34766697.27
2026-06-11T12:47:05.564886+00:00,103824219.27,34766697.27
2026-06-12T12:20:07.335305+00:00,105852616.27,34766697.27
2026-06-15T15:15:39.147049+00:00,107564114.27,34766697.27
2026-06-16T13:28:36.039827+00:00,107564114.27,34766697.27
2026-06-17T12:51:44.383662+00:00,107373169.27,34766697.27
2026-06-18T12:27:07.900221+00:00,107361748.27,34766697.27
2026-06-19T12:46:34.889473+00:00,107213318.27,34766697.27
2026-06-22T14:41:02.621878+00:00,106648950.27,34766697.27
2026-06-23T12:08:17.156162+00:00,105971340.27,34766697.27
2026-06-24T11:44:26.623583+00:00,104839193.27,34766697.27
2026-06-25T11:40:23.823640+00:00,105675269.27,34766697.27
2026-06-26T11:44:54.731591+00:00,104969488.27,34766697.27
2026-06-29T13:08:04.612085+00:00,105121441.27,34766697.27
2026-06-30T11:44:54.282158+00:00,104179064.27,34766697.27
2026-07-01T12:08:02.331674+00:00,103097336.27,34766697.27
2026-07-02T11:33:40.853038+00:00,103167427.27,34766697.27
2026-07-03T11:32:15.843876+00:00,104853676.27,34766697.27
2026-07-06T12:47:19.337450+00:00,104146386.27,34766697.27
2026-07-07T11:50:54.950116+00:00,105629252.27,34766697.27
2026-07-08T11:04:22.546630+00:00,104768884.27,34766697.27
2026-07-09T11:57:46.965774+00:00,104809115.27,34766697.27
2026-07-10T11:51:59.200383+00:00,105580464.27,34766697.27
2026-07-13T12:05:57.887439+00:00,106226273.27,34766697.27
2026-07-14T10:46:24.004851+00:00,106314953.27,34766697.27
2026-07-15T10:49:16.988387+00:00,106485680.27,34766697.27
2026-07-16T11:00:04.336358+00:00,106942609.27,34766697.27
2026-07-17T10:46:43.463697+00:00,108171613.27,34766697.27
2026-07-20T11:45:16.555611+00:00,108402482.27,34766697.27
2026-07-21T11:07:51.490496+00:00,108800452.27,34766697.27
2026-07-22T11:09:58.984734+00:00,108595248.27,34766697.27
2026-07-23T11:09:27.322372+00:00,109166623.27,34766697.27
